	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
340	"Bloating, apetite loss (18), diarrhea, photosensitivity (19), gynecomastia (20), and hypertension (43).

Case Report
Subarachnoid hemorrhage: In a 53-year-old woman following use of an herbal supplement containing red clover, dong quai, and Siberian ginseng for hot flashes. Her symptoms resolved after discontinuing use of the supplement (30)."	Bloating,Diarrhoea,Diarrhea,Photosensitivity,Gynaecomastia,Gynecomastia,Hypertension,Subarachnoid hemorrhage,Subarachnoid haemorrhage,Hemorrhage,Haemorrhage,Herbal supplement,Hot flashes	Dong Quai	"Anticoagulants: Dong quai may have additive anticoagulant effect (21). However, such effect appears to be limited in a human study (44).
Cytochrome P450 substrates: Prolonged use of dong quai can induce CYP3A4 by activating pregnane X receptor (36). This may reduce the blood levels and effectiveness of substrate drugs.
Lisinopril [angiotensin converting enzyme (ACE) inhibitor]: Concurrent use with dong quai exacerbated anemia in a murine model (42). Clinical relevance has yet to be determined."	Human,Receptor,Lisinopril,Enzyme	Dysmenorrhea,Health maintenance,Menopausal symptoms,Premenstrual syndrome,Spasms	True	True
344	"Common: Headache, dizziness, nausea, constipation, gastrointestinal upset, rash (5) (11) (12) (54)
Rare: Dermatitis, anaphylaxis (13) (54)
Case Reports – Oral
Profound thrombocytopenia: In a 61-year-old man with nonsmall cell lung cancer who was concurrently taking echinacea while receiving chemoradiation with cisplatin and etoposide (25).
Severe thrombotic thrombocytopenic purpura (TTP): In a 32-year-old man following ingestion of echinacea to alleviate upper respiratory tract infection symptoms. TTP resolved after treatment for a month (18).
Pemphigus vulgaris exacerbation: In a 55-year-old man with a history of the condition which was controlled with immunosuppressants. Exacerbation was linked to consumption of echinacea, and only partial remission was regained after he was treated again with immunosuppressants (19).
Asymptomatic leukopenia: In a 51-year-old woman following chronic use of echinacea. Her white blood cell count returned to normal levels 7 months after discontinuing echinacea supplements (20).
Severe acute hepatitis: In a 45-year-old man who complained of fatigue and jaundice lasting one week, linked to the ingestion of daily high doses of echinacea used to strengthen his immune system after catching the cold (23).
Severe acute liver failure: In a 2-year-old girl, likely secondary to echinacea toxicity (56).
Hypereosinophilia: In a 58-year-old man following echinacea consumption, with symptoms improving after discontinuing echinacea (24).
Bilateral central facial palsy and severe quadriparesis: In a 25 year-old male after taking herbal drugs (containing echinacea and many other herbal ingredients) for two weeks. Symptoms improved after conventional treatment (64).
Acute cholestatic hepatitis: In a 41-year-old man following consumption of echinacea to strengthen immune system. His condition improved after discontinuing its use (65).
Case Reports – Topical
Eye irritation and conjunctivitis: 7 reports following use of topical echinacea were received by The National Registry of Drug-Induced Ocular Side Effects. Symptoms resolved after discontinuing echinacea (21)."	Headache,Dizziness,Nausea,Constipation,Gastrointestinal upset,Rash,Dermatitis,Anaphylaxis,Thrombocytopenia,Cell,Lung cancer,Cancer,Thrombotic thrombocytopenic purpura,Thrombocytopenic purpura,Purpura,Upper respiratory tract infection,Respiratory tract infection,Infection,Pemphigus vulgaris,Pemphigus,Leukopenia,White blood cell count,Hepatitis,Fatigue,Jaundice,Cold,Acute liver failure,Liver failure,Hypereosinophilia,Facial palsy,Palsy,Quadriparesis,Acute cholestatic hepatitis,Cholestatic hepatitis,Eye irritation,Conjunctivitis	Echinacea	"Cytochrome P450 substrates: Echinacea inhibits CYP3A4 (14) (43) and CYP2C8 (66) and can affect the intracellular concentration of drugs metabolized by this enzyme.
Cytochrome P3A or CYP1A2 substrate drugs: Caution should be used when echinacea is coadministered with drugs dependent on CYP3A or CYP1A2 for their elimination (57).
Tamoxifen: In vitro studies suggest concurrent echinacea use may result in subtherapeutic systemic exposure of prodrugs such as tamoxifen, reducing their efficacy (43).
Docetaxel: In a study of cancer patients receiving docetaxel, echinacea at the recommended dosage did not significantly alter docetaxel pharmacokinetics (58) (59).
Etoposide: Echinacea caused profound thrombocytopenia in a patient receiving etoposide, likely due to the inhibition of CYP3A4 (25).
P-glycoprotein (P-gp) substrate drugs: In vitro, echinacea has been shown to inhibit P-gp activity (60), but the clinical significance of this is uncertain as echinacea supplementation in humans did not affect digoxin pharmacokinetics (61).
Oseltamivir: In vitro, echinacea reduced the formation of the active drug and may therefore reduce efficacy, but clinical significance is as yet undetermined (62).
Immunosuppressants: Echinacea may antagonize the effects of immunosuppressants (19)."	Enzyme,Tamoxifen,docetaxel,Etoposide,Activity,Digoxin,Oseltamivir	Common cold,Immunostimulation,Viral infections,Wound healing	True	True
348	"Infrequent: Type 1 allergy (25), gastrointestinal (GI) distress (23).
Case Report: Eleven people experienced nausea and vomiting, eight of whom had acute GI and neurologic symptoms after ingesting an elderberry juice made from raw elderberries, leaves, and branches. Other symptoms included dizziness and numbness and one person who had consumed the most juice was hospitalized (23)."	Allergy,Nausea,Vomiting,Neurologic symptoms,Dizziness,Numbness	Elderberry	"Antidiabetic drugs: Elderberry has hypoglycemic activity and may have additive effects with antidiabetic drugs (6).
Diuretics: Elderberry promotes urination and may have additive effects with diuretics (26).
Laxatives: Elderberry may have additive effects (4) (24).
Cytochrome P4503A4 substrates: A commercial product containing Echinacea purpurea and Sambucus nigra was found to inhibit CYP3A4 activity, although the inhibitory potency seems to be exerted by E. purpurea. Until more is known, elderberry should be used with caution with CYP3A4 substrates (27)."	Activity	Bacterial Infections,Cancer,Circulatory disorders,Cold and flu symptoms,Constipation,HIV/AIDS,Inflammation,Respiratory infections,Sinusitis	True	True
352	 	 	Ellagic acid	Cytochrome P450 substrates: Ellagic acid inhibits cytochrome P450 and can affect the intracellular concentration of drugs metabolized by this enzyme (14) (15).	Ellagic Acid,Enzyme	Cancer prevention,Hypercholesterolemia	False	True
356	 	 	Emblica officinalis	Clopidogrel: When used concomitantly, E. officinalis extract was found to increase the antiplatelet activity (22).,Ecosprin: The above study found increased antiplatelet activity with Ecosprin as well (22).	clopidogrel,Activity	Diabetes,Diarrhea,Jaundice,Headaches,Inflammation,Chronic ulcers,Hyperlipidemia	False	True
360	Reported: Hypertension, palpitations, heart attack, stroke, seizures, insomnia, cardiomyopathy, psychosis and death (6) (10) (14), coronary artery aneurysm and thrombosis (16), and gastric mucosal injury (17).	Hypertension,Palpitations,Heart attack,Stroke,Seizures,Insomnia,Cardiomyopathy,Psychosis,Death,Coronary artery aneurysm,Aneurysm,Thrombosis,Injury	Ephedra	"CNS stimulants: May increase stimulatory effects.
 (1)
Theophylline: May decrease its effectiveness (18).
Digoxin: Concomitant use can cause arrhythmia (1) (11).
Monoamine-oxidase inhibitors (MAO-I): Concomitant use can cause hypertensive crisis (4)."	Theophylline,Digoxin	Asthma,Bronchitis,Common cold,Cough,Infections,Promote urination,Strength and stamina,Weight loss	True	True
364	"Sweating or feeling hot in high doses; however, toxicity and safety evaluations are lacking (21)
Case reports
Vasculitic rash, pain, and burning sensation: Induced by either ginkgo and/or horny goat weed herbal remedies that a 77-year-old male colorectal cancer survivor reported taking to improve memory and libido. Patient was hospitalized for 3 days. Medical history included curative resection 8 years prior, hypertension managed with lisinopril for 4 years, and no other medication or health complaints. A working diagnosis of vasculitic rash secondary to adverse reactions to either herbal preparation was made due to cessation of symptoms upon discontinuation of these products and after 3 weeks’ follow-up (19).
Tachyarrhythmia and hypomania: A 66-year-old man with congestive heart failure was hospitalized following symptoms of shortness of breath, chest pain, and new-onset symptomatic arrhythmia. He reported taking Epimedium daily for 2 weeks to increase sexual pleasure. His symptoms were brought under control by administering olanzapine along with lorazepam (20)."	Sweating,Feeling hot,Vasculitic rash,Rash,Pain,Burning sensation,Colorectal cancer,Cancer,Hypertension,Tachyarrhythmia,Hypomania,Congestive heart failure,Heart failure,Shortness of breath,Chest pain,Arrhythmia	Epimedium	Cytochrome P450 substrates: Prolonged use of Epimedium can induce CYP3A4 through the activation of pregnane X receptor (22) .,Aromatase Inhibitors: Icariin enhances the action of aromatase (1). This may reduce the effect of aromatase inhibitors, like anastrozole, exemestane, and letrozole.	Receptor,icariin,anastrozole,exemestane,letrozole	Fatigue,Osteoporosis,Sexual dysfunction	True	True
368	Case Report: A 59-year-old woman reported symptoms of anorexia, nausea, myalgia, fatigue, and generalized abdominal pain following consumption of Essiac tea for six months. Her symptoms resolved after discontinuing the tea (13).,The manufacturer of Flor Essence states that users may experience increased bowel movements, frequent urination, swollen glands, skin blemishes, flu-like symptoms, or slight headaches (14).	Anorexia,Nausea,Myalgia,Fatigue,Abdominal pain,Pain,Swollen glands,Flu-like symptoms,Flu,Headaches	Essiac	Cytochrome P450: Decreased clearance of an experimental chemotherapy drug was reported in a patient taking Essiac (4). This may be due to inhibition of cytochrome P450 enzymes by Essiac (6).		Cancer treatment,Health maintenance,HIV and AIDS,Immunostimulation	True	True
372	"Minor: abdominal pain, indigestion, nausea, softening of stools, and headaches (25).
Labor abnormalities: When used to shorten gestation and length of labor, increased incidences of prolonged membrane rupture, oxytocin augmentation, arrest of descent, and vacuum extraction (8) (48).
Case reports
Petechiae and ecchymoses: Observed in a newborn whose mother used raspberry leaf tea and evening primrose oil vaginally and orally 1 week before childbirth (12).
Lipoid pneumonia: In a 50-year-old woman following chronic use of evening primrose oil, caused by aspiration of lipid particles into the lungs (24)."	Abdominal pain,Pain,Indigestion,Nausea,Headaches,Oxytocin,Petechiae,Ecchymoses,Newborn,Lipoid pneumonia,Pneumonia,Aspiration	Evening Primrose Oil	"Anticoagulants/Antiplatelets: May have additive effects and increase bleeding risk (46) (47) (49).
Blood pressure medications: Although there are no interactions reported with blood pressure medications, evening primrose oil was identified as being among supplements that may increase both systolic and diastolic blood pressures, with a clinically meaningful difference for systolic blood pressure in a large population-based study (50).
Antiretrovirals: When used concurrently, evening primrose oil significantly increases the levels of antiretroviral drugs, and can increase the risk of adverse effects (51)."	Evening primrose oil	Cancer treatment,Diabetic neuropathy,Eczema,Gastrointestinal disorders,Mastalgia,Menopausal symptoms,Premenstrual syndrome,Rheumatoid arthritis	True	True
376	Allergic reactions including rhinorrhea, wheezing, numbness of head, facial angioedema and fainting were reported following inhalation and external application of fenugreek seed powder (31).,Excessive use of fenugreek milk porridge was reported to cause severe coagulation failure in a patient with compensation cirrhosis (40).,Fenugreek seed extract caused developmental abnormalities in mice (27), but this has not been shown in humans.,A fenugreek seed extract was found to improve insulin secretion and decrease glucose level, but impaired the hypothalamic-pituitary-thyroid axis (HPT), in diabetic rats. Clinical relevance is not known (41).	Rhinorrhea,Rhinorrhoea,Wheezing,Numbness of head,Numbness,Angioedema,Fainting,Insulin,Glucose,Diabetic	Fenugreek	Warfarin: Fenugreek may potentiate the effects of warfarin (28) (29).,Cyclophosphamide: Fenugreek may interfere with the cytotoxic effects of cyclophosphamide (25).,Theophylline: Fenugreek altered the bioavailability in an animal model (32).	Warfarin,Cyclophosphamide,Theophylline,Animal	Alopecia,Arthritis,Cancer treatment,Diabetes,GI disorders,High cholesterol,Induce childbirth,Infections,Inflammation,Lactation stimulation,Lymphadenitis,Muscle pain,Promote urination,Skin ulcers,Wound healing	False	True
380	"Common: Minor gastrointestinal distress; oral ulcerations from chewing fresh feverfew leaves; airborne contact dermatitis (28); exacerbated dermatitis following use of a moisturizer containing feverfew (29).
Withdrawal symptoms: Muscle stiffness, anxiety, and moderate pain usually occur following cessation of long-term use of feverfew (referred to as the post-feverfew syndrome) (25)."	Contact dermatitis,Dermatitis,Muscle stiffness,Stiffness,Anxiety,Pain	Feverfew	"Cytochrome P450 3A4 substrates: Feverfew inhibits CYP1A2/2C8/2C9/2C19/2D6 and 3A4, and can affect the intracellular concentration of drugs metabolized by these enzymes (30).
Anticoagulants/antiplatelets: The active constituent in feverfew inhibits platelet activity and may have additive effects (22) (23) (24) (31)."	Activity	Arthritis,Dysmenorrhea,Migraine prophylaxis,Psoriasis	True	True
384	"Common: Increased bowel movements (16), constipation, and flatulence (9)
Case Reports
Anaphylaxis: Following ingestion of flaxseeds (17) (30).
False polyposis coli: On double contrast barium enema after flaxseed supplementation (18).
Increase in the luteal phase of the menstrual cycle: After flaxseed supplementation (5)."	Constipation,Flatulence,Anaphylaxis,Polyposis coli,Barium enema	Flaxseed	 	 	Cancer prevention,Constipation,Diabetes,High cholesterol,Menopausal symptoms,Mucositis,Periodontal disease,Premenstrual syndrome,Radiation therapy side effects	True	False
388	Increased risk of toxicity with overconsumption  (51)		Folate	Anticonvulsants: Concurrent use of folic acid may antagonize the effects of certain anticonvulsants (29).,Black or green tea: May cause a decrease in folic acid absorption (64).	Folic Acid	Alzheimer’s disease,Cancer prevention,Cardiovascular disease,Neural tube birth defect prevention	False	True
392	Reported: Hypotension, tachycardia (1), headache (10)	Hypotension,Tachycardia,Headache	Forskolin	"Anti-hypertensives: Forskolin may have additive hypotensive effect with beta-blockers, vasodilators, calcium channel blockers, etc. (7).
Anticoagulants: Forskolin may cause bleeding due to additive platelet inhibition (9).
Forskolin can induce CYP3A gene expression and can potentially increase the metabolism of drugs that are substrates of related microsomal enzymes (20) (21)."	Calcium	Allergies,Asthma,Cancer treatment,Congestive heart failure,Glaucoma,Hypertension,Weight loss	True	True
396	Diarrhea, which improved immediately after stopping fucoidan administration (26).	Diarrhoea,Diarrhea	Fucoidan	Anticoagulants such as warfarin and heparin: Due to its anti-thrombotic effects, fucoidan may increase bleeding risk (24).	Warfarin,heparin	Anticancer effects,Hypertension,Immunostimulation,Inflammation,Infections,Prevent blood clots	False	True
400	"Common: nausea, headache, GI discomfort (3) (12) (19)
Rare: itching around the mouth, upper respiratory tract symptoms (3) (19)
In RCTs, adverse events were not significantly different than placebo (3) (20) .
Case Reports
Hepatotoxicity: From a polyherbal supplement containing HCA from G. cambogia, with return of liver function when the supplement was stopped (21). Other herbal components may play a role (22).
Liver failure requiring transplant: In a 52-year-old woman (23) and a 34-year old man (24), both associated with the use of G. cambogia.
Acute hepatitis: In a 42-year-old woman likely secondary to G. cambogia  (25) (26).
Skeletal muscle damage: In an 18-year-old man, possibly associated with the ingestion of a supplement containing HCA in addition to his increased exercise regimen (27).
Nephropathy: In a 38-year-old obese woman after long-term use of an HCA-containing supplement (28).
Suspected serotonin toxicity: In a 35-year-old woman taking serotonin reuptake inhibitors (SSRIs) along with a nutritional supplement containing G. cambogia and HCA. The patient presented with stuttering speech, profuse sweating, hypertension, and tachycardia. Although G. cambogia could not be proven as the direct cause, the patient had already used escitalopram without symptoms for over 1 year and developed serotonin toxicity only after the addition of G. cambogia  (29).
Acute necrotizing eosinophilic myocarditis: In a previously healthy 48-year-old woman taking G.cambogia extract (30).
Diabetic ketoacidosis, pancreatitis, and stress cardiomyopathy: In a 56-year-old woman with a complex medical history and whose outpatient medications had not been adjusted in the last 3 years. These events transpired after several weeks of G. cambogia consumption and sudden weight loss, and was therefore felt to be possibly related (31).
Induced mania with psychosis: In a young woman with no history of bipolar disorder approximately 1 week after G. cambogia supplements and a detox cleanse. Following treatment and supplement discontinuations, the patient experienced rapid mood stabilization and was discharged after 1 week (32).
Mania case series: In 3 stable patients both with and without psychiatric histories, manias emerged with use of G. cambogia  (33).
Hypomania: Induced by a G. cambogia supplement in a 51-year-old woman with long-term history of bipolar disorder (34). Symptoms resolved after discontinuation of the supplement while maintaining the same prescription medications she had been taking."	Nausea,Headache,Discomfort,Itching,Hepatotoxicity,Liver failure,Transplant,Hepatitis,Muscle damage,Nephropathy,Nutritional supplement,Stuttering,Sweating,Hypertension,Tachycardia,Acute necrotizing eosinophilic myocarditis,Eosinophilic myocarditis,Myocarditis,Diabetic ketoacidosis,Diabetic,Ketoacidosis,Pancreatitis,Stress cardiomyopathy,Stress,Cardiomyopathy,Weight loss,Weight,Mania,Psychosis,Bipolar disorder,Hypomania	Garcinia gummi-gutta	"Insulin: G. cambogia and HCA may decrease blood sugar levels and can lower insulin levels (4).
Antidepressants: HCA may increase serotonin release, which may interact with drugs that affect the serotoninergic system (29) (35).
Leukotriene receptor antagonists: A case report noted fatal liver failure when G. cambogia extract and another weight loss supplement was used along with the leukotriene receptor antagonist montelukast, but it is unclear if liver failure was due to G. cambogia  (36).
CYP2B6 substrate drugs: In vitro studies suggest G. cambogia extract could modulate the pharmacokinetics of these drugs, potentially causing interactions (37). A number of drug classes may be affected, including antitumor drugs (cyclophosphamide, ifosphamide, and sorafenib), antimalarials (artemisinin), antidepressants (bupropion, selegiline), antivirals (efavirenz) analgesics (methadone, meperidine), and anticonvulsants (valproic acid). However, HCA did not exhibit significant effects on CYP450."	Serotonin,Receptor,montelukast,Cyclophosphamide,sorafenib,Bupropion,Selegiline,efavirenz,Methadone,Meperidine,Valproic Acid	Appetite suppression,Gastrointestinal ailments,Obesity, weight loss	True	True
404	Case Reports:,Headache, fatigue, altered platelet function with potential for bleeding, offensive odor, GI upset, diarrhea, sweating, changes in the intestinal flora, hypoglycemia (16).,Prolonged bleeding time with spinal epidural hematoma and platelet dysfunction has occurred following excessive usage of garlic (29).,A 51-year-old man developed renal hematoma after extracorporeal shock-wave lithotripsy (SWL) that occurred due to excessive odorless garlic ingestion. He was treated with antibiotics and fluids. His hematoma went into remission after five months (35).,Chemical burn of oral mucosa has been reported following consumption of crushed garlic (36).,Anaphylaxis (38) (54),Topical application of garlic to treat a facial wart resulted in a burn in a 23-year-old woman (44).,A 37-year-old woman who ate fresh garlic every day developed severe postoperative bleeding following hysterectomy (46).,Topical application of garlic and salt paste under occlusion caused a severe chemical burn in a 41-year-old man. His symptoms resolved after treatment and discontinuation of garlic use (48).,Use of an external garlic poultice for toothache resulted in significant chemical burn to the face (51).,An unusual garlic burn was reported on the neck of a patient, following application of crushed raw garlic to address symptoms of a sore throat (52).	Headache,Fatigue,Bleeding,GI upset,Diarrhoea,Diarrhea,Sweating,Hypoglycaemia,Hypoglycemia,Bleeding time,Spinal epidural hematoma,Spinal epidural haematoma,Epidural hematoma,Haematoma,Hematoma,Platelet dysfunction,Renal haematoma,Renal hematoma,Shock,Lithotripsy,Chemical burn,Chemical,Burn,Anaphylaxis,Wart,Postoperative bleeding,Hysterectomy,Toothache,Sore throat	Garlic	Insulin: Dose of insulin may require adjustment due to hypoglycemic effects of garlic (39).,Warfarin: Anticoagulant activity may be enhanced due to increased fibrinolytic activity and diminished human platelet aggregation (17) (49).,Saquinavir (Fortovase, Invirase): Consuming garlic can significantly decrease serum concentration levels. Garlic can decrease peak levels by 54% and mean trough levels by 49%. These reductions in levels can cause therapeutic failure (18).,Cytochrome (CYP) P450 substrates: Garlic can inhibit CYP 2C9, 2C19, 3A4 and may interfere with the drugs metabolized by these enzymes (41) (42).,P-Glycoprotein substrates: Garlic induces P-glycoprotein and can interfere with the metabolism of certain drugs (34).	Warfarin,Activity,Human,Saquinavir,Invirase	Atherosclerosis,Cancer prevention,Cancer treatment,Cardiovascular disease,Circulatory disorders,High cholesterol,Hypertension,Microbial infection,Skin infections	True	True
408	 	 	GCP	"Tamoxifen: Animal studies suggest that genistein, a soy isoflavone, may antagonize the effects of tamoxifen on estrogen-dependent breast cancer.
 (9)"	Tamoxifen,Animal,Genistein	Cancer prevention,Prostate cancer	False	True
412	"Common: Weight loss, fatigue, nausea, vomiting, anorexia, anemia, muscle weakness, paresthesias, and sensory ataxia (1).
Rare: Chronic renal failure, elevated liver enzymes, hepatic steatosis, peripheral neuropathies, cerebellar ataxia, and bone marrow hypoplasia (4) (5) (6)."	Weight loss,Weight,Fatigue,Nausea,Vomiting,Anorexia,Anemia,Anaemia,Muscle weakness,Weakness,Sensory ataxia,Ataxia,Chronic renal failure,Renal failure,Elevated liver enzymes,Hepatic steatosis,Peripheral neuropathies,Cerebellar ataxia,Marrow hypoplasia	Germanium	Theoretically, may have additive toxicity with other drugs known to cause renal (e.g. aminoglycosides), hepato- or neurotoxicity (e.g. taxanes), and myelosuppression.		Arthritis,Cancer treatment,Health maintenance,HIV and AIDS	True	False
416	"Common: Flu-like symptoms, loss of appetite, perspiration with foul odor, weakness, dizziness, cold sores, fever blisters, high fever, tumor pain, intestinal cramping, diarrhea, and vomiting. (The Gerson handbook claims that these adverse reactions are indicative of response) (1).
Common (metabolic diet): Nutrient deficiencies (calcium, vitamins D and B12, protein), anemia, and malabsorption may result from metabolic diets.
Reported: Campylobacterfetus sepsis caused by the liver injections was reported in 13 patients using the Gerson therapy between 1980-6; liver injections were subsequently eliminated from the regimen. Coma from low serum sodium (as low as 102 mEq/l) occurred in 5 of these patients (9).
Coffee enemas cause electrolyte imbalance, which has resulted in serious infections, dehydration, colitis, constipation, and death.
Case Reports (Coffee enemas): Case 1: Multiple seizures and hypokalemia leading to cardiorespiratory arrest, coma, and death were reported after excessive use of coffee enemas (1-4 per hour) for a number of days. Case 2: Death attributable to fluid and electrolyte imbalance causing pleural and pericardial effusions after use of coffee enemas, 4 per day for 8 weeks (5)."	Flu-like symptoms,Flu,Weakness,Dizziness,Cold sores,Cold,Fever,Blisters,Tumour pain,Tumor pain,Pain,Diarrhoea,Diarrhea,Vomiting,Calcium,Protein,Anemia,Anaemia,Malabsorption,Sepsis,Coma,Serum sodium,Sodium,Electrolyte imbalance,Dehydration,Colitis,Constipation,Death,Seizures,Hypokalemia,Hypokalaemia,Fluid and electrolyte imbalance	Gerson Regimen	 	 	Allergies,Arthritis,Asthma,Atherosclerosis,Cancer treatment,Cardiovascular disease,Chronic fatigue syndrome,Detoxification,Diabetes,Hypertension,Infertility,Lou Gehrig’s Disease,Migraine treatment,Multiple sclerosis,Peptic ulcers,Psoriasis,Tuberculosis	True	False
420	"Common: Heartburn and dermatitis (36) .
Case Report
Overanticoagulation: A 76-year-old woman on long-term phenprocoumon therapy developed an elevated international normalized ratio (INR) and epistaxis following use of ginger products. INR returned to normal range after discontinuing ginger along with administration of vitamin K (50)."	Heartburn,Dermatitis,International normalized ratio,International normalised ratio,INR,Epistaxis,Vitamin K,Vitamin	Ginger	Nonsteroidal anti-inflammatory drugs (NSAIDs): Ginger may increase bleeding tendency with concomitant use of drugs such as diclofenac or ibuprofen (26).,Anticoagulants / Antiplatelets: Because ginger can inhibit thromboxane formation and platelet aggregation, concomitant use with anticoagulants may increase the risk of bleeding (51), although a systematic review determined that current evidence is inconclusive. Further study is warranted (57).,Hypoglycemics / Insulin: Ginger may cause additive reductions in blood glucose (7).,Tacrolimus: Pretreatment with ginger increases the plasma levels of tacrolimus (52).,Cyclosporine: Concomitant use with ginger resulted in decreased blood concentrations of cyclosporine in vivo (54).	Diclofenac,Ibuprofen,Glucose,Tacrolimus,Cyclosporine	Diarrhea,Drug withdrawal symptoms,Gas and indigestion,Motion sickness,Nausea and vomiting,Respiratory ailments,Rheumatoid arthritis	True	True
424	"Case reports
Spontaneous bleeding: Including hematomas (31) (32), hyphema (33), and cerebral and intracerebral bleeding (34) (35).
Prolonged bleeding time: Among some healthy volunteers in a pharmacodynamic study that evaluated the interaction of gingko with antiplatelet drugs (36).
Seizures: In predisposed patients or those on medications that lowered the seizure threshold (37).
Cutaneous reaction: Pruritus and macular erythema in a man after repeatedly ingesting a natural product containing ginkgo and vinpocetine (38).
Acute hemolytic anemia (with injected ginkgo): In a patient with glucose-6-phosphate dehydrogenase (G6PD) deficiency receiving a G. biloba injection for dementia prophylaxis. Symptoms resolved following intravenous fluid infusion and discontinuation of G. biloba  (39)."	Bleeding,Hyphema,Hyphaema,Bleeding time,Seizures,Seizure,Pruritus,Erythema,Acute hemolytic anemia,Haemolytic anaemia,Hemolytic anemia,Anemia,Anaemia,Glucose-6-phosphate dehydrogenase,Glucose,Phosphate,Injection,Dementia,Prophylaxis,Infusion	Ginkgo	Cytochrome P450 substrates: Studies show that ginkgo can inhibit and induce the CYP450 1A2, 2D6, and 3A4 enzymes but data are conflicting (26) (27) (40) (41) (42) (43).,P-glycoprotein substrates: Ginkgo inhibits P-glycoprotein and can therefore interfere with drugs that are transported by P-glycoprotein (44).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Ginkgo modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (45).,MATE1 substrates: Isorhamnetin, a compound present in ginkgo was shown to be a strong inhibitor of the human multidrug and toxic compounds extrusion transporter 1 (hMATE1), responsible for the excretion of various drugs in the kidney and liver (46).,Anticoagulants / Antiplatelets: Ginkgo may induce or prolong bleeding time (36) (47).,Nonsteroidal anti-inflammatory drugs (NSAIDS): Ginkgo can have additive anticoagulant/antiplatelet effects (48).,Antipsychotics / Prochlorperazine: Ginkgo may cause seizures when combined with medications that lower the seizure threshold (37).,Insulin: Ginkgo can alter insulin secretion and affect blood glucose levels (49) (50).,Trazodone: Ginkgo extract was associated with coma in a patient with Alzheimer’s disease who was also taking trazodone (47) .,Efavirenz: Ginkgo may inhibit its effects (43) (51).,Midazolam: Ginkgo may decrease serum concentrations (52).,Amlodipine: Ginkgo leaf tablet, a multiherbal formula containing ginkgo, was shown to inhibit the metabolism of amlodipine in a rat model (53).	Uridine,Human,Prochlorperazine,Glucose,Trazodone,efavirenz,Midazolam,Amlodipine	Cardiovascular disease,Memory loss,Tinnitus	True	True
428	 	 	Ginseng (American)	"Warfarin: American ginseng has been shown to antagonize warfarin’s effects (11).
Cytochrome P450 (CYP) 3A4 substrates: Certain ginsenosides can induce CYP3A4 and may affect the metabolism of drugs that are substrates of this enzyme  (19) (20)."	Warfarin,Enzyme	Cancer prevention,Cancer treatment,Diabetes,Health maintenance,Immunostimulation,Strength and stamina	False	True
432	Dry mouth, tachycardia, nausea, vomiting, diarrhea, insomnia, and nervousness have been reported following consumption of ginseng  (1).,A 26-year-old male with no history of mental illness became manic following chronic consumption of 250 mg panax ginseng capsules three times a day. His symptoms, including irritability, insomnia, flight of ideas, and rapid speech, resolved following discontinuation of supplement (17).,Gynecomastia has been reported in a 12-year-old boy after ingesting ginseng extract for body building (31).,A 46-year-old woman developed orobuccolingual dyskinesia (OBLD) that interfered with her speech, tongue-biting and eating difficulties, following consumption of a formula containing black cohosh and ginseng. Her symptoms resolved after discontinuing use of the formula (34).,Two cases of ginseng-associated manic psychosis have been reported (35).,Pulmonary embolism has been reported in a 41-year-old woman after taking panax pills (40).,Perioperative bleeding was reported in a 72-year-old woman following cardiac surgery due to severe coagulopathy induced by high oral intake of ginseng before surgery  (45).	Dry mouth,Tachycardia,Nausea,Vomiting,Diarrhoea,Diarrhea,Insomnia,Nervousness,Illness,Manic,Irritability,Flight of ideas,Gynaecomastia,Gynecomastia,Dyskinesia,Manic psychosis,Psychosis,Pulmonary embolism,Embolism,Bleeding,Surgery,Coagulopathy	Ginseng (Asian)	"Insulin and sulfonylureas: P. ginseng may increase the hypoglycemic effect of insulin and sulfonylureas (5).
Anticoagulants: P. ginseng may antagonize the effects of anticoagulants (6) (7) (8).
Monoamine oxidase inhibitors (MAOIs): P. ginseng may cause manic-like symptoms when combined with MAOIs (9).
Imatinib: P. ginseng may increase risk of hepatotoxicity (24).
Cytochrome P450 (CYP) 3A4 substrates: Certain ginsenosides can induce CYP3A4 and may increase the clearance of substrate drugs (28) (29). However, effects in humans may not be clinically significant (41).
Raltegravir: Elevated plasma levels of raltegravir, an antiretroviral drug, were reported in a patient following concurrent use of raltegravir and ginseng (32)."	imatinib,raltegravir	Angina,Diabetes,Health maintenance,AIDS,Immunostimulation,Pain,Sexual dysfunction,Strength and stamina	False	True
436	No adverse reactions have been reported, but photosensitivity may occur due to psoralens.	Photosensitivity	Glehnia	Anticoagulants / Antiplatelets: Theoretically, glehnia root may have additive effects with anticoagulants and antiplatelets due to the coumarin content.	coumarin	Bronchitis,Chest congestion,Whooping cough	False	True
